CASO 0:

					5: 110 IOP250T
					5: 125 IOP250T
					5: 115 IOP250T
					5: 111 IOP250T
					5: 111 IOP250T
					5: 110 IOP250T
					5: 109 IOP250T
					5: 110 IOP250T
					5: 109 IOP250T
					5: 108 IOP250T
					5: 108 IOP250T
					5: 110 IOP250T
					5: 109 IOP250T
					5: 109 IOP250T
					5: 122 IOP250T
					5: 110 IOP250T
					5: 110 IOP250T
					5: 108 IOP250T
					5: 110 IOP250T
					5: 107 IOP250T
					5: 115 IOP250T
					5: 112 IOP250T
6: 18 KFLOPT
					5: 107 IOP250T
					5: 105 IOP250T
					5: 114 IOP250T
					5: 107 IOP250T
					5: 110 IOP250T
					5: 109 IOP250T
					5: 125 IOP250T
					5: 109 IOP250T
					5: 109 IOP250T
					5: 109 IOP250T
					5: 109 IOP250T
					5: 108 IOP250T
					5: 109 IOP250T
					5: 108 IOP250T
					5: 107 IOP250T
					5: 108 IOP250T
					5: 107 IOP250T
					5: 109 IOP250T
					5: 110 IOP250T
					5: 110 IOP250T
					5: 114 IOP250T
					5: 109 IOP250T
					5: 178 IOP250T
					5: 218 IOP250T
					5: 237 IOP250T
					5: 146 IOP250T
					5: 108 IOP250T
					5: 109 IOP250T
					5: 109 IOP250T
					5: 109 IOP250T
					5: 109 IOP250T
					5: 219 IOP250T
					5: 175 IOP250T
					5: 205 IOP250T
					5: 135 IOP250T
					5: 107 IOP250T
					5: 109 IOP250T
					5: 110 IOP250T
					5: 109 IOP250T
					5: 108 IOP250T
					5: 110 IOP250T
					5: 124 IOP250T
6: 16 KFLOPT
					5: 127 IOP250T
					5: 108 IOP250T
					5: 148 IOP250T
					5: 108 IOP250T
					5: 108 IOP250T
					5: 110 IOP250T
					5: 108 IOP250T
					5: 109 IOP250T
					5: 110 IOP250T
					5: 109 IOP250T
					5: 109 IOP250T
					5: 111 IOP250T
					5: 109 IOP250T
					5: 108 IOP250T
					5: 111 IOP250T
					5: 117 IOP250T
					5: 110 IOP250T
					5: 113 IOP250T
					5: 120 IOP250T
					5: 109 IOP250T


///////////////////////////////////////////////////////////////////////////////

CASO 2:

					5: 143 IOP250T
					5: 102 IOP250T
					5: 101 IOP250T
					5: 103 IOP250T
					5: 103 IOP250T
					5: 102 IOP250T
					5: 100 IOP250T
					5: 101 IOP250T
					5: 99 IOP250T
					5: 95 IOP250T
					5: 100 IOP250T
					5: 101 IOP250T
					5: 99 IOP250T
					5: 107 IOP250T
					5: 104 IOP250T
					5: 99 IOP250T
					5: 97 IOP250T
					5: 102 IOP250T
					5: 96 IOP250T
					5: 92 IOP250T
					5: 100 IOP250T
					5: 102 IOP250T
					5: 102 IOP250T
					5: 102 IOP250T
					5: 102 IOP250T
					5: 103 IOP250T
					5: 99 IOP250T
					5: 101 IOP250T
					5: 102 IOP250T
					5: 102 IOP250T
					5: 101 IOP250T
					5: 102 IOP250T
					5: 93 IOP250T
					5: 97 IOP250T
					5: 83 IOP250T
					5: 95 IOP250T
					5: 90 IOP250T
					5: 96 IOP250T
					5: 93 IOP250T
					5: 93 IOP250T
					5: 101 IOP250T
					5: 101 IOP250T
7: 14 KFLOPT
					5: 114 IOP250T
					5: 102 IOP250T
					5: 102 IOP250T
					5: 102 IOP250T
					5: 102 IOP250T
					5: 101 IOP250T
					5: 102 IOP250T
					5: 103 IOP250T
					5: 106 IOP250T
					5: 102 IOP250T
					5: 104 IOP250T
					5: 102 IOP250T
					5: 106 IOP250T
					5: 101 IOP250T
					5: 101 IOP250T
					5: 102 IOP250T
					5: 101 IOP250T
					5: 101 IOP250T
					5: 100 IOP250T
					5: 103 IOP250T
					5: 102 IOP250T
					5: 102 IOP250T
					5: 102 IOP250T
					5: 103 IOP250T
					5: 102 IOP250T
					5: 102 IOP250T
					5: 102 IOP250T
					5: 109 IOP250T
					5: 102 IOP250T
					5: 102 IOP250T
					5: 101 IOP250T
					5: 101 IOP250T
					5: 101 IOP250T
					5: 102 IOP250T
					5: 102 IOP250T
					5: 102 IOP250T
					5: 101 IOP250T
7: 17 KFLOPT
					5: 101 IOP250T
					5: 102 IOP250T
					5: 102 IOP250T
					5: 101 IOP250T
					5: 106 IOP250T
					5: 102 IOP250T
					5: 101 IOP250T
					5: 101 IOP250T
					5: 102 IOP250T
					5: 101 IOP250T
					5: 101 IOP250T
					5: 102 IOP250T
					5: 106 IOP250T
					5: 103 IOP250T
					5: 105 IOP250T
					5: 102 IOP250T
					5: 101 IOP250T
					5: 101 IOP250T
					5: 102 IOP250T
					5: 107 IOP250T
					5: 102 IOP250T
					5: 102 IOP250T
					5: 103 IOP250T
					5: 101 IOP250T
					5: 107 IOP250T
					5: 102 IOP250T
					5: 102 IOP250T
					5: 101 IOP250T
					5: 93 IOP250T
					5: 94 IOP250T
					5: 101 IOP250T
					5: 99 IOP250T
					5: 101 IOP250T
					5: 102 IOP250T
					5: 101 IOP250T
					5: 101 IOP250T
					5: 101 IOP250T
					5: 102 IOP250T
					5: 100 IOP250T
					5: 101 IOP250T
					5: 101 IOP250T
